"","casenum","statenum","vehnum","persontotal","agemin","agemax","numfatal","day","month","year","date","modelyear","make","cellphoneuse"
"1",2,1,1,2,22,24,1,10,1,2016,"01/2016",2008,37,0
"2",9,1,1,1,69,69,0,4,1,2016,"01/2016",2015,35,0
"3",9,1,2,3,19,22,2,4,1,2016,"01/2016",2015,48,0
"4",14,1,1,4,1,60,1,8,1,2016,"01/2016",2009,35,0
"5",15,1,2,2,11,75,0,8,1,2016,"01/2016",2014,37,0
"6",23,1,1,2,22,32,2,14,1,2016,"01/2016",2008,20,0
"7",26,1,1,2,19,63,1,15,1,2016,"01/2016",2009,52,0
"8",26,1,2,2,61,62,0,15,1,2016,"01/2016",2014,37,0
"9",26,1,3,1,65,65,0,15,1,2016,"01/2016",2012,63,0
"10",30,1,1,3,22,25,1,10,1,2016,"01/2016",2008,20,0
"11",32,1,1,3,2,32,0,21,1,2016,"01/2016",2015,23,0
"12",34,1,2,3,0,25,0,22,1,2016,"01/2016",2008,23,0
"13",35,1,1,2,85,90,0,22,1,2016,"01/2016",2015,18,0
"14",41,1,2,5,5,37,0,28,1,2016,"01/2016",2014,42,0
"15",46,1,1,2,2,22,1,7,2,2016,"02/2016",2014,35,0
"16",48,1,2,1,31,31,1,12,2,2016,"02/2016",2012,52,0
"17",48,1,3,2,22,26,0,12,2,2016,"02/2016",2014,2,0
"18",52,1,1,3,20,39,0,30,1,2016,"01/2016",2008,6,0
"19",55,1,1,2,31,31,0,3,2,2016,"02/2016",2013,35,0
"20",55,1,2,1,35,35,1,3,2,2016,"02/2016",2014,20,0
"21",61,1,2,3,28,28,0,8,2,2016,"02/2016",2012,2,0
"22",61,1,3,1,25,25,0,8,2,2016,"02/2016",2014,41,0
"23",77,1,1,1,26,26,0,16,2,2016,"02/2016",2011,20,0
"24",77,1,2,2,55,73,2,16,2,2016,"02/2016",2014,42,0
"25",80,1,1,2,18,22,2,18,2,2016,"02/2016",2014,20,0
"26",81,1,1,3,77,87,3,18,2,2016,"02/2016",2015,13,0
"27",82,1,1,2,19,19,1,20,2,2016,"02/2016",2011,55,1
"28",109,1,1,2,31,34,0,5,3,2016,"03/2016",2010,20,0
"29",112,1,1,2,20,22,1,7,3,2016,"03/2016",2008,2,0
"30",117,1,1,1,55,55,0,9,3,2016,"03/2016",2013,55,0
"31",117,1,2,1,47,47,0,9,3,2016,"03/2016",2013,30,0
"32",126,1,1,2,19,19,1,19,3,2016,"03/2016",2008,49,0
"33",155,1,2,2,19,20,1,24,3,2016,"03/2016",2011,63,0
"34",164,1,1,2,20,22,2,30,3,2016,"03/2016",2008,14,0
"35",184,1,1,2,62,70,0,3,4,2016,"04/2016",2009,49,0
"36",203,1,2,5,4,53,1,13,2,2016,"02/2016",2016,35,0
"37",205,1,2,2,49,66,0,16,2,2016,"02/2016",2011,20,0
"38",211,1,1,2,82,82,1,9,2,2016,"02/2016",2015,12,0
"39",212,1,2,2,20,20,0,7,2,2016,"02/2016",2010,37,0
"40",227,1,1,1,18,18,0,2,1,2016,"01/2016",2011,12,0
"41",227,1,2,3,12,27,1,2,1,2016,"01/2016",2012,20,0
"42",227,1,3,2,17,41,0,2,1,2016,"01/2016",2008,2,0
"43",239,1,1,3,25,42,2,3,5,2016,"05/2016",2009,12,0
"44",246,1,1,1,68,68,1,7,5,2016,"05/2016",2011,37,0
"45",246,1,2,2,71,74,0,7,5,2016,"05/2016",2015,49,0
"46",264,1,1,1,68,68,0,12,5,2016,"05/2016",2010,12,0
"47",264,1,5,1,43,43,0,12,5,2016,"05/2016",2012,35,0
"48",271,1,1,1,44,44,1,18,5,2016,"05/2016",2011,12,0
"49",271,1,2,1,52,52,0,18,5,2016,"05/2016",2012,7,0
"50",277,1,1,3,34,34,0,21,5,2016,"05/2016",2014,55,0
"51",315,1,1,2,67,74,2,1,6,2016,"06/2016",2012,20,0
"52",315,1,2,1,52,52,0,1,6,2016,"06/2016",2014,55,0
"53",324,1,1,2,23,25,0,8,6,2016,"06/2016",2016,37,0
"54",328,1,1,2,63,67,2,11,6,2016,"06/2016",2013,20,0
"55",333,1,3,2,46,46,0,3,7,2016,"07/2016",2013,32,0
"56",334,1,1,2,75,86,2,23,6,2016,"06/2016",2009,23,0
"57",339,1,1,2,24,25,2,9,6,2016,"06/2016",2009,12,0
"58",357,1,1,2,0,71,1,23,6,2016,"06/2016",2012,55,0
"59",370,1,2,2,35,38,0,27,6,2016,"06/2016",2015,7,0
"60",396,1,1,2,5,39,1,21,4,2016,"04/2016",2016,55,0
"61",396,1,2,1,50,50,0,21,4,2016,"04/2016",2012,12,0
"62",397,1,2,4,8,58,1,9,4,2016,"04/2016",2011,12,0
"63",398,1,1,2,2,53,0,7,4,2016,"04/2016",2014,63,0
"64",406,1,1,2,60,66,1,27,6,2016,"06/2016",2014,20,0
"65",408,1,1,4,2,53,0,30,6,2016,"06/2016",2016,7,0
"66",416,1,1,2,25,50,1,13,7,2016,"07/2016",2016,49,0
"67",417,1,1,1,72,72,0,15,7,2016,"07/2016",2014,12,0
"68",417,1,2,3,11,48,1,15,7,2016,"07/2016",2011,37,0
"69",417,1,3,2,19,19,0,15,7,2016,"07/2016",2014,23,0
"70",417,1,4,4,22,48,0,15,7,2016,"07/2016",2012,12,0
"71",439,1,2,5,4,58,5,18,7,2016,"07/2016",2014,35,0
"72",447,1,1,2,38,40,1,24,7,2016,"07/2016",2008,63,0
"73",462,1,1,4,6,40,1,3,8,2016,"08/2016",2014,12,0
"74",468,1,1,1,19,19,0,14,8,2016,"08/2016",2013,20,0
"75",468,1,2,3,37,37,1,14,8,2016,"08/2016",2016,37,0
"76",468,1,3,2,52,52,0,14,8,2016,"08/2016",2015,20,0
"77",470,1,1,4,18,20,1,14,8,2016,"08/2016",2009,37,0
"78",483,1,2,1,17,17,0,6,8,2016,"08/2016",2010,49,0
"79",483,1,4,1,22,22,0,6,8,2016,"08/2016",2013,41,0
"80",485,1,1,1,52,52,0,9,8,2016,"08/2016",2015,12,0
"81",485,1,3,1,31,31,0,9,8,2016,"08/2016",2011,37,0
"82",489,1,1,3,25,33,2,13,8,2016,"08/2016",2013,12,0
"83",499,1,1,2,18,20,2,18,8,2016,"08/2016",2011,35,0
"84",499,1,2,2,3,32,0,18,8,2016,"08/2016",2015,20,0
"85",513,1,1,2,67,69,1,24,8,2016,"08/2016",2016,7,0
"86",518,1,1,2,48,51,1,13,9,2016,"09/2016",2008,20,0
"87",521,1,1,4,18,50,0,4,9,2016,"09/2016",2010,58,0
"88",533,1,2,3,26,26,1,28,8,2016,"08/2016",2008,20,0
"89",535,1,1,2,28,28,1,31,8,2016,"08/2016",2014,12,0
"90",540,1,1,1,44,44,1,1,9,2016,"09/2016",2013,35,0
"91",540,1,2,3,1,37,0,1,9,2016,"09/2016",2008,12,0
"92",546,1,1,2,62,69,1,4,9,2016,"09/2016",2012,6,0
"93",557,1,2,2,57,59,0,22,5,2016,"05/2016",2014,63,0
"94",563,1,1,1,51,51,0,21,5,2016,"05/2016",2008,20,0
"95",563,1,2,1,67,67,1,21,5,2016,"05/2016",2014,49,0
"96",570,1,1,3,2,20,0,3,5,2016,"05/2016",2011,20,0
"97",570,1,2,3,62,66,1,3,5,2016,"05/2016",2016,20,0
